ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
2201,N.R. Govindarajar,Elected,"Wednesday, June 30, 2004","Tuesday, June 29, 2010",First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. Educated at Annamalai University, Annamalai Nagar (Tamil Nadu)",65,14,0,162,65%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),10.1,0.3,78,79,15.3,0.2,74,75%,,Rajya Sabha
518139,Najma A. Heptulla,Elected,"Tuesday, April 3, 2012","Saturday, August 20, 2016",Sixth Term,Madhya Pradesh,,Bharatiya Janata Party,Female,Doctorate,"M.Sc.(Zoology), Ph.D. (Cardiac Anatomy) Educated at Motilal Nehru Vigyan Mahavidyalaya",79,87,0,230,93%,"This MP was a minister from May 2014 to Jul 12, 2016. Ministers represent the government, so we do not report their participation. Participation and attendance details are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",23.3,0.4,127,79,34.5,1.1,241,84%,,Rajya Sabha
2202,Nand Kishore Yadav,Elected,"Monday, July 5, 2004","Sunday, July 4, 2010",First Term,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"M.A. (Political Science), LL.B. Educated at Gorakhpur University, Gorakhpur and Shibli National College, Azamgarh (Uttar Pradesh)",60,13,0,204,88%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),10.1,0.3,78,79,8.4,0.4,58,82%,,Rajya Sabha
2203,Nand Kumar Sai,Elected,"Wednesday, June 30, 2010","Wednesday, June 29, 2016",Second Term,Chhattisgarh,,Bharatiya Janata Party,Male,Post Graduate,"M.A.(Political Science) ; Educated at N.E.S. College (formerly Ravishankar University), Jashpur Nagar, Distt. Raigarh (Madhya Pradesh)",73,48,0,661,73%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,43.1,0.4,412,86%,,Rajya Sabha
2204,Nandamuri Harikrishna,Elected,"Thursday, April 10, 2008","Thursday, August 22, 2013",First Term,Andhra Pradesh,,Telugu Desam Party,Male,Inter/ Higher Secondary,"S.Sc. Educated at Senior Secondary School, Chennai",63,2,0,126,69%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),35.8,1,271,79,32.2,1.5,452,77%,,Rajya Sabha
2205,Nandi Yellaiah,Elected,"Thursday, April 10, 2008","Wednesday, April 9, 2014",Second Term,Andhra Pradesh,,Indian National Congress,Male,Matric,Matric,77,15,0,333,78%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,33.6,1.5,483,77%,,Rajya Sabha
531836,Narain Dass Gupta,Elected,"Sunday, January 28, 2018",In office,First Term,Delhi,,Aam Aadmi Party,Male,Information not available,Information not available,74,36,0,55,95%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),30.6,0.5,99,79,79.7,0.7,134,93%,,Rajya Sabha
591480,Naranbhai Jemlabhai Rathwa,Elected,"Tuesday, April 3, 2018",In office,First Term,Gujarat,,Indian National Congress,Male,Information not available,Information not available,55,9,0,143,98%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,16.8,0,64,81%,,Rajya Sabha
2206,Narayan Lal Panchariya,Elected,"Thursday, April 10, 2014",In office,First Term,Rajasthan,,Bharatiya Janata Party,Male,Post Graduate,"M.Com., LL.B. Educated at Rajasthan University, Jaipur, Rajasthan and Jodhpur University, Jodhpur, Rajasthan",65,69,11,676,96%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),91,1.4,308,79,75,2.8,291,85%,,Rajya Sabha
2207,Narayan Singh Kesari,Elected,"Monday, April 3, 2006","Monday, April 2, 2012",Second Term,Madhya Pradesh,,Bharatiya Janata Party,Male,Graduate,Hindi Visharad Educated at Indore,94,1,0,7,95%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),24,0.6,182,79,37.1,1.4,293,84%,,Rajya Sabha
2208,Narayan Singh Manaklao,Nominated,"Wednesday, August 27, 2003","Wednesday, August 26, 2009",First Term,,,Bharatiya Janata Party,Male,Doctorate,"M.A. (Hindi Literature), Ph.D. (Hindi Literature) Educated at Jai Narayan Vyas University, Jodhpur",77,1,0,0,87%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),4.3,0.1,25,79,1.3,0.1,12,74%,,Rajya Sabha
591481,Narayan Tatu Rane,Elected,"Tuesday, April 3, 2018",In office,First Term,Maharashtra,,Bharatiya Janata Party,Male,Information not available,Information not available,66,0,0,132,56%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,22.6,1.2,101,75%,,Rajya Sabha
2209,Narendra Budania,Elected,"Tuesday, August 4, 2009","Tuesday, April 3, 2018",Third Term,Rajasthan,,Indian National Congress,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at Lohia P.G. College, Churu and University of Rajasthan, Jaipur (Rajasthan)",63,83,0,76,91%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),98.4,1.9,502,79,87,1.3,594,85%,,Rajya Sabha
2210,Narendra Jadhav,Nominated,"Tuesday, April 26, 2016",In office,First Term,,,Independent,Male,Information not available,Information not available,66,60,1,7,73%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),60.7,0.9,200,79,34.4,0.8,72,74%,,Rajya Sabha
2211,Narendra Kumar Kashyap,Elected,"Monday, July 5, 2010","Monday, July 4, 2016",First Term,Uttar Pradesh,,Bahujan Samaj Party,Male,Professional Graduate,"B.A., LL.B. ; Educated at K.V. Degree College, Meerut University, Uttar Pradesh and M.M.H. College, Ghaziabad, Uttar Pradesh",56,136,9,382,83%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,71.7,1.6,259,82%,,Rajya Sabha
2212,Narendra Kumar Swain,Elected,"Monday, December 14, 2015",In office,First Term,Odisha,,Biju Janata Dal,Male,Information not available,Information not available,53,8,0,313,76%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),67,1,219,79,64.2,0.8,224,77%,,Rajya Sabha
2213,Naresh Chandra Agrawal,Elected,"Friday, March 19, 2010","Monday, April 2, 2018",Second Term,Uttar Pradesh,,Samajwadi Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at Lucknow University, Lucknow",68,326,0,595,81%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),93.8,1.8,461,79,108.5,1.9,375,82%,,Rajya Sabha
2214,Naresh Gujral,Elected,"Sunday, April 10, 2016",In office,Third Term,Punjab,,Shiromani Akali Dal,Male,Graduate,"B.A., F.C.A. Educated at St. Stephen's College, University of Delhi and Institute of Chartered Accountants of India, Delhi",71,113,3,345,94%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),122.9,2.2,539,79,110.2,1.7,550,82%,,Rajya Sabha
2215,Natuji Halaji Thakor,Elected,"Thursday, April 10, 2008","Wednesday, April 9, 2014",First Term,Gujarat,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"SSC Educated at Mudarada, Distt. Mehsana (Gujarat)",59,23,0,512,72%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,36.6,0.9,324,81%,,Rajya Sabha
2216,Navjot Singh Sidhu,Nominated,"Thursday, April 28, 2016","Monday, July 18, 2016",First Term,,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",56,0,0,0,40%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),4.9,0,11,79,1.2,0,1,74%,,Rajya Sabha
2217,Nazir Ahmed Laway,Elected,"Monday, February 23, 2015",In office,First Term,Jammu and Kashmir,,,Male,Graduate,B.A.,53,16,0,87,73%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),79.9,1.2,268,79,66.4,0.3,59,83%,,Rajya Sabha
2218,Naznin Faruque,Elected,"Saturday, April 3, 2010","Saturday, April 2, 2016",First Term,Assam,,Indian National Congress,Female,Graduate,"B.A.(Hons.) ; Educated at Lady Kene College, North Eastern Hill University, Shillong, Meghalaya",65,13,0,377,82%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),62.2,1.3,338,79,52.5,0.7,294,84%,,Rajya Sabha
2219,Neeraj Shekhar,Elected,"Tuesday, August 20, 2019",In office,Second Term,Uttar Pradesh,,Bharatiya Janata Party,Male,Graduate,B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College,51,219,1,653,97%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),76.9,1.3,278,79,97.8,0.5,259,82%,,Rajya Sabha
2220,Nekkanti Bhaskar Rao,Elected,"Saturday, July 2, 2016",In office,First Term,Odisha,,Biju Janata Dal,Male,Graduate,Bachelor of Commerce from Alagappa University,65,31,0,7,55%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),55.7,0.9,188,79,48,0.6,174,77%,,Rajya Sabha
2221,Nirmala Sitharaman,Elected,"Friday, July 1, 2016",In office,Second Term,Karnataka,,Bharatiya Janata Party,Female,Doctorate,Ph.D.,60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Rajya Sabha
2222,O.T. Lepcha,Elected,"Friday, February 24, 2006","Thursday, February 23, 2012",First Term,Sikkim,,Sikkim Democratic Front,Male,Under Graduate,,50,16,2,155,77%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),22.2,0.6,171,79,16,2,155,62%,,Rajya Sabha
2223,Om Prakash Mathur,Elected,"Tuesday, July 5, 2016",In office,Second Term,Rajasthan,,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Rajasthan University, Jaipur",67,24,0,359,78%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),96,1.9,481,79,81.9,3,612,85%,,Rajya Sabha
2224,Oscar Fernandes,Elected,"Friday, July 1, 2016",In office,Fourth Term,Karnataka,,Indian National Congress,Male,Graduate,"Intermediate, B.A.II Educated at Cecilia's Convent, Board High School and M.G.M.College, Udupi",78,19,1,36,81%,"This MP was a minister from Jun 2013 to May 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till May 2013. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",121.1,2.1,524,79,92.8,1.9,513,73%,,Rajya Sabha
2225,P. Chidambaram,Elected,"Tuesday, July 5, 2016",In office,First Term,Maharashtra,,Indian National Congress,Male,Professional Post Graduate,"B.Sc., B.L., M.B.A.; Educated at Madras University, Chennai, Tamil Nadu and Harvard University, Boston, Massachusetts (U.S.A.)",74,12,0,0,53%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),55.7,0.9,188,79,47.9,2.5,259,75%,,Rajya Sabha
2226,P. Kannan,Elected,"Wednesday, October 7, 2009","Tuesday, October 6, 2015",First Term,Puducherry,,Indian National Congress,Male,Inter/ Higher Secondary,"P.U.C. (Intermediate) ; Educated at Tagore Arts College, Puducherry",70,13,0,1,53%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),58.3,1.3,348,79,14.3,0,1,68%,,Rajya Sabha
2227,P. Rajeeve,Elected,"Wednesday, April 22, 2009","Thursday, April 23, 2015",First Term,Kerala,,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B., Diploma in Chemical Engineering Educated at St. Pauls College, Kalamassery, Govt. Law College, Ernakulum and Govt. Polytechnic, Kalamassery",52,219,4,792,84%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),58.2,1.3,348,79,93.6,0.9,509,75%,,Rajya Sabha
842949,P. Wilson,Elected,"Thursday, July 25, 2019",In office,First Term,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Information not available,Information not available,,31,1,0,97%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),13.6,0.2,19,79,19.5,0.1,21,75%,,Rajya Sabha
2228,P.J. Kurien,Elected,"Sunday, July 2, 2006","Sunday, July 1, 2018",Third Term,Kerala,,Indian National Congress,Male,Post Graduate,"M. Sc. Educated at St. Thomas College, Kozencherry (Kerala) and Government Science College, Rewa (Madhya Pradesh)",78,35,2,150,95%,This MP was elected Deputy Chairman of RS in Oct 2012. Participation and attendance details of this MP are thus available till Sep 2012. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),28,0.7,200,79,33.6,0.7,289,75%,,Rajya Sabha
2229,P.L. Punia,Elected,"Wednesday, November 26, 2014",In office,First Term,Uttar Pradesh,,Indian National Congress,Male,Doctorate,"M.A., Ph.D.; Educated at Punjab University, Chandigarh and Lucknow University, Lucknow, Uttar Pradesh",74,242,3,622,87%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),84.2,1.4,285,79,104.6,0.5,266,82%,,Rajya Sabha
2230,P.R. Rajan,Elected,"Sunday, July 2, 2006","Sunday, July 1, 2012",First Term,Kerala,,Communist Party of India (Marxist),Male,Graduate,"B.Sc. Educated at Government Victoria College, Palakkad (Kerala)",83,9,0,72,32%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),28,0.7,200,79,33.6,0.7,289,75%,,Rajya Sabha
2231,Palvai Govardhan Reddy,Elected,"Tuesday, April 3, 2012","Friday, June 9, 2017",Second Term,Telangana,,Indian National Congress,Male,Graduate,"B.A. Educated at Vivekavardhini College, Osmania University",83,78,1,632,83%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),68.9,1.2,291,79,135.9,0.8,523,72%,,Rajya Sabha
2232,Pankaj Bora,Elected,"Friday, December 16, 2011","Saturday, April 2, 2016",First Term,Assam,,Indian National Congress,Male,Graduate,"B.A. (Hons.) Educated at Cotton College, Guwahati",73,39,0,353,97%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),49.6,0.9,233,79,39.4,0.5,218,84%,,Rajya Sabha
2233,Parimal Nathwani,Elected,"Thursday, April 10, 2014",In office,Second Term,Jharkhand,,Independent,Male,Post Graduate,"Professional doctorate in management Educated at National Institute of Management, Ahmedabad",63,20,0,1367,40%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),131.3,2.4,601,79,69.5,1.1,815,78%,,Rajya Sabha
2234,Parshottam Khodabhai Rupala,Elected,"Tuesday, April 3, 2018",In office,Third Term,Gujarat,,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., B.Ed. Educated at Saurashtra University and Gujarat University",65,43,8,550,75%,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till May 2016. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",82.5,1.6,453,79,58.1,3.1,461,81%,,Rajya Sabha
2235,Parvez Hashmi,Elected,"Tuesday, August 4, 2009","Saturday, January 27, 2018",Second Term,Delhi,,Indian National Congress,Male,Post Graduate,"M. Sc. (Chemistry) ; Educated at Aligarh Muslim University, Aligarh",65,53,0,549,94%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),97,1.9,480,79,30.4,0,186,93%,,Rajya Sabha
2236,Paul Manoj Pandian,Elected,"Wednesday, June 30, 2010","Wednesday, June 29, 2016",First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"B.L., M.L. ; Educated at Dr. Ambedkar Law College, Chennai and Madras University, Chennai",48,40,0,225,53%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,86.3,0.9,441,75%,,Rajya Sabha
2237,Pavan Kumar Varma,Elected,"Monday, June 23, 2014","Thursday, July 7, 2016",First Term,Bihar,,Janata Dal (United),Male,Professional Graduate,"B.A. (Hons.) History, LL.B. Educated at St. Stephen's College, New Delhi and University of Delhi Honorary Doctoral Degree by University of Indianapolis",66,21,0,11,98%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),35.1,0.6,120,79,50.6,0.1,87,79%,,Rajya Sabha
2238,Penumalli Madhu,Elected,"Tuesday, June 22, 2004","Monday, June 21, 2010",First Term,Andhra Pradesh,,Communist Party of India (Marxist),Male,Under Graduate,,71,8,0,165,86%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),10.1,0.3,78,79,12.5,1.1,162,77%,,Rajya Sabha
2239,Phaggan Singh Kulaste,Elected,"Tuesday, April 3, 2012","Friday, May 16, 2014",First Term,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.Ed., LL.B. Educated at Mandla College, Dr. Hari Singh University, Sagar and Rani Durgawati University, Jabalpur (Madhya Pradesh)",60,2,0,83,76%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),16.2,0.4,111,79,30,1.1,226,84%,,Rajya Sabha
2240,Piyush Vedprakash Goyal,Elected,"Tuesday, July 5, 2016",In office,Second Term,Maharashtra,,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., F.C.A. ; Educated at Don Bosco High School, Mumbai, Jai Hind College, Mumbai, H.R. College of Commerce and Economics, Mumbai, Government Law College, Mumbai and Institute of Chartered Accountants of India, New Delhi",55,26,0,297,75%,"This MP was appointed a minister in May 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till Feb 2014. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",85.9,1.6,404,79,76.4,3.2,576,75%,,Rajya Sabha
2241,Prabha Thakur,Elected,"Thursday, April 10, 2008","Wednesday, April 9, 2014",Second Term,Rajasthan,,Indian National Congress,Female,Doctorate,"B.A., M.A., Ph.D. Educated at Udaipur University, Udaipur (Rajasthan)",70,67,0,366,85%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,42.4,0.5,437,85%,,Rajya Sabha
2242,Prabhakar Kore,Elected,"Thursday, June 26, 2014",In office,Third Term,Karnataka,,Bharatiya Janata Party,Male,Doctorate,"B.Com. Educated at Gogte College of Commerce, Belgaum",72,34,0,436,68%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),131.3,2.4,601,79,95.8,2.9,533,73%,,Rajya Sabha
591482,Prabhakar Reddy Vemireddy,Elected,"Tuesday, April 3, 2018",In office,First Term,Andhra Pradesh,,Yuvajana Sramika Rythu Congress Party,Male,Information not available,Information not available,62,9,0,135,70%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,21.3,1.4,117,77%,,Rajya Sabha
2243,Prabhat Jha,Elected,"Thursday, April 10, 2014",In office,Second Term,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"B. Sc., M.A. (Political Science), LL. B., Educated at PGV College, Gwalior and Madhav College, and MLB College, Gwalior",62,106,19,2056,72%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),131.3,2.4,601,79,141.9,3.2,825,84%,,Rajya Sabha
2244,Prabhu Suresh Prabhakar,Elected,"Wednesday, June 22, 2016",In office,Second Term,Andhra Pradesh,,Bharatiya Janata Party,Male,Professional Graduate,C.A.,66,9,0,0,80%,"This MP was a minister from Jun 2016 to May 2019. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",83.1,1.3,283,79,52.8,3.1,351,77%,,Rajya Sabha
2245,Pradeep Kumar Balmuchu,Elected,"Friday, May 4, 2012","Thursday, May 3, 2018",First Term,Jharkhand,,Indian National Congress,Male,Post Graduate,M.Com; Studied at Co-operative college Jamshedpur,61,20,0,752,82%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),77.3,1.3,338,79,34,0.2,469,78%,,Rajya Sabha
2246,Pradeep Tamta,Elected,"Tuesday, July 5, 2016",In office,First Term,Uttarakhand,,Indian National Congress,Male,Post Graduate,"M.A, LL.B and B.Ed.; Educated at Kumaon University, Nainital, Uttarakhand",61,29,3,0,92%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),55.7,0.9,188,79,24.6,0.9,96,89%,,Rajya Sabha
2247,Pradip Bhattacharya,Elected,"Saturday, August 19, 2017",In office,Second Term,West Bengal,,Indian National Congress,Male,Post Graduate,"B.A. (Hons.), M.A. Educated at Itagoria High School, SURI Vidyasagar College and Burdwan University, West Bengal",74,95,0,750,83%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),112.9,1.8,460,79,159.3,2.8,347,72%,,Rajya Sabha
2248,Praful Manoharbhai Patel,Elected,"Tuesday, July 5, 2016",In office,Fourth Term,Maharashtra,,Nationalist Congress Party,Male,Graduate,"B.Com.; Educated at University of Bombay, Mumbai, Maharashtra",62,40,0,4,66%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),90.8,1.4,308,79,79,4.5,454,75%,,Rajya Sabha
591484,Prakash Banda,Elected,"Tuesday, April 3, 2018",In office,First Term,Telangana,,Telangana Rashtra Samithi,Male,Information not available,Information not available,65,40,0,154,86%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,15.1,0.6,111,72%,,Rajya Sabha
2249,Prakash Javadekar,Elected,"Tuesday, April 3, 2018",In office,Third Term,Maharashtra,,Bharatiya Janata Party,Male,Graduate,"B. Com. Educated at University of Pune, Pune",68,119,8,641,92%,"This MP was appointed a minister in May 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 21st Feb, 2014. During his previous term, he was an e (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",76.1,1.5,392,79,93.9,3.7,651,75%,,Rajya Sabha
2250,Pramod Kureel,Elected,"Friday, July 9, 2010","Monday, April 2, 2012",First Term,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"B. Arch. (Bachelor of Architechture), M. Arch. (Master of Architechture) Educated at School of Planning and Architechture, New Delhi",53,15,0,15,66%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),13.9,0.3,105,79,12.1,0.9,65,82%,,Rajya Sabha
2251,Pramod Tiwari,Elected,"Friday, December 13, 2013","Monday, April 2, 2018",First Term,Uttar Pradesh,,Indian National Congress,Male,Professional Graduate,"B.Sc., LL.B.",68,133,0,211,90%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),62.8,1,243,79,81.7,0.5,217,82%,,Rajya Sabha
2252,Prasanna Acharya,Elected,"Saturday, July 2, 2016",In office,First Term,Odisha,,Biju Janata Dal,Male,Professional Graduate,"LLB from L.R. Law College Sambalpur University and Graduation from Panchayat College, Sambalpur University",69,69,0,68,79%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),55.7,0.9,188,79,48,0.6,174,77%,,Rajya Sabha
2253,Prasanta Chatterjee,Elected,"Thursday, April 3, 2008","Wednesday, April 2, 2014",Second Term,West Bengal,,Communist Party of India (Marxist),Male,Graduate,"Matriculation, Educated at Narikeldanga High School, Kolkata and City College, Kolkata",80,90,0,173,81%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,55.6,0.6,156,72%,,Rajya Sabha
591486,Prashanta Nanda,Elected,"Wednesday, April 4, 2018",In office,First Term,Odisha,,Biju Janata Dal,Male,Information not available,Information not available,72,41,0,32,77%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,77,79,35.6,0.6,51,77%,,Rajya Sabha
531845,Pratap Keshari Deb,Elected,"Thursday, May 18, 2017","Sunday, June 9, 2019",First Term,Odisha,,Biju Janata Dal,Male,Graduate,"B.A. from Ramjas College, 12th from Rajkumar College, Raipur",45,5,0,3,62%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),16.1,0.2,90,79,10.8,0,75,77%,,Rajya Sabha
2254,Pratap Singh Bajwa,Elected,"Sunday, April 10, 2016",In office,First Term,Punjab,,Indian National Congress,Male,Graduate,"B.A.; educated at D.A.V. College, Chandigarh, Punjab",62,60,1,249,90%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),60.7,0.9,201,79,48.4,0.7,232,82%,,Rajya Sabha
2255,Praveen Rashtrapal,Elected,"Tuesday, April 3, 2012","Thursday, May 12, 2016",Second Term,Gujarat,,Indian National Congress,Male,Professional Graduate,"B.A., LL.B. Educated at Siddharth College, Mumbai",79,43,0,277,78%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),51.4,0.9,230,79,37.4,3.1,262,81%,,Rajya Sabha
2256,Pravinchandra Rughnathji Naik,Elected,"Friday, February 19, 2010","Thursday, August 18, 2011",First Term,Gujarat,,Bharatiya Janata Party,Male,Diploma Course,Electrical and Mechancial Engineering,82,0,0,8,82%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),11.6,0.4,92,79,8.4,0,81,81%,,Rajya Sabha
2257,Prem Chand Gupta,Elected,"Thursday, April 10, 2014",In office,Fourth Term,Jharkhand,,Rashtriya Janata Dal,Male,Graduate,"Graduate (Economics) Educated at Vaish College, Bhiwani, D.N.College, Hissar and Faculty of Law, Delhi University",69,59,0,151,93%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),91,1.4,308,79,33.8,0.4,420,78%,,Rajya Sabha
2258,Prithviraj Chavan,Elected,"Thursday, April 3, 2008","Friday, May 6, 2011",Second Term,Maharashtra,,Indian National Congress,Male,Post Graduate,"B.E.(Hons), M.S. Educated at B.I.T.S., Pilani, Rajasthan and University of California, Berkeley, U.S.A.",73,0,0,0,19%,"This MP was a minister. He tendered his resignation on Nov 10, 2010. Ministers represent the government in debates, so we do not report their participation. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",17.3,0.5,131,79,17.3,0.2,160,75%,,Rajya Sabha
2259,Pyarelal Khandelwal,Elected,"Wednesday, June 30, 2004","Tuesday, October 6, 2009",Second Term,Madhya Pradesh,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Madhyamik Shiksha Parishad, Indore",90,0,0,17,93%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),4.3,0.1,25,79,3.7,0,32,84%,,Rajya Sabha
2260,Pyarimohan Mohapatra,Elected,"Friday, July 2, 2010","Friday, July 1, 2016",Second Term,Odisha,,Independent,Male,Post Graduate,"B.A. (Hons.) in Economics, M.A. in Political Science, Diploma in Development Administration Educated at Ravenshaw College, Cuttack, Allahabad University, Allahabad and London School of Economics, London",79,71,0,209,58%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,86.1,0.7,351,77%,,Rajya Sabha
2261,R. K. Sinha,Elected,"Thursday, April 10, 2014",In office,First Term,Bihar,,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) N.L. Educated at A.N. College, Patna",68,27,1,72,79%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),91,1.4,308,79,120.9,0.1,169,79%,,Rajya Sabha
2262,R. Lakshmanan,Elected,"Thursday, July 25, 2013","Wednesday, July 24, 2019",First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"M.B.B.S., D. Ortho. Educated at RMMC & H, Annamalai University, Chidambaram, Tamil Nadu",48,27,0,643,72%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),83.6,1.2,321,79,121.4,0.7,459,75%,,Rajya Sabha
